ID_CommunityIdentity;ID_CommunityIdentityConnectedTo;ID_CommunityConnectionType
58194;37249;1
58194;49778;1
58194;236205;2
58194;522141;1
58194;529407;1
58194;536807;1
58194;587378;1
63410;167449;1
63410;216161;1
63410;499363;1
63410;585240;1
63535;499641;2
63535;569699;2
64003;64003;1
64003;73860;1
64003;149613;1
1381;4894;1
1381;30722;1
1381;37249;1
1381;47037;1
1381;128808;1
1381;505138;1
1381;518395;1
1381;519657;1
1381;554327;1
1381;571425;1
1381;600903;1
2006;2006;1
4089;4089;1
6293;6293;1
6293;70212;1
6293;219450;1
6293;541318;1
6293;566508;1
6293;577929;1
7397;16943;1
7397;42911;1
7397;103328;1
7397;206858;1
7397;240661;1
7397;499663;1
7397;501085;1
7397;505509;1
7397;518394;1
7565;21010;1
7565;37249;1
7565;40451;1
7565;87683;1
7565;105566;1
7565;151912;1
7565;193754;1
7565;196753;1
7565;204447;1
7565;227614;1
7565;230897;1
7565;233257;1
7565;502420;1
7565;506211;1
7565;519657;1
7565;519933;1
7565;520847;1
7565;528843;1
7565;556508;1
7565;575486;1
7565;585694;1
7565;601953;1
7565;638455;1
7565;638781;1
7565;672007;1
8633;31534;1
8633;55475;1
8633;84149;1
8633;213325;1
8633;503346;1
8633;530501;1
8633;545815;1
10741;13770;1
10741;20178;1
10741;21967;1
10741;23771;2
10741;26373;1
10741;27632;1
10741;29262;1
10741;31351;1
10741;31534;1
10741;37346;1
10741;37541;2
10741;38837;1
10741;47029;2
10741;49497;2
10741;49538;1
10741;51918;2
10741;55608;1
10741;55707;1
10741;55887;1
10741;56623;1
10741;74763;1
10741;77330;1
10741;86091;2
10741;91850;1
10741;102731;1
10741;118117;2
10741;124021;2
10741;137950;1
10741;139071;2
10741;150445;1
10741;157302;1
10741;163981;1
10741;168092;1
10741;170067;2
10741;175922;1
10741;177591;2
10741;182345;1
10741;189476;2
10741;192986;1
10741;198128;1
10741;200688;1
10741;212174;1
10741;220419;1
10741;221538;1
10741;227468;2
10741;230094;1
10741;235419;1
10741;236177;1
10741;236278;1
10741;308448;1
10741;499212;2
10741;499613;2
10741;500229;1
10741;501732;1
10741;505147;1
10741;505942;2
10741;506339;2
10741;518336;1
10741;518394;1
10741;526402;1
10741;531158;1
10741;531954;2
10741;535258;1
10741;537267;2
10741;541477;1
10741;541767;1
10741;544900;1
10741;548147;2
10741;553978;1
10741;555604;2
10741;558434;1
10741;558742;1
10741;565241;2
10741;565783;1
10741;565950;1
10741;568800;1
10741;575690;2
10741;578557;1
10741;582098;2
10741;582140;2
10741;583505;1
10741;601443;2
10741;601786;2
10741;636546;1
10741;665847;1
10741;666563;2
10741;681020;2
13867;13867;1
13867;31984;1
13867;155221;1
13867;516173;1
13867;541535;1
15428;151197;1
15428;239841;1
15810;533796;1
17668;17668;1
18786;50713;1
18786;92007;1
18786;184086;1
18786;207112;1
20769;501095;1
20769;521044;1
20983;24561;2
20983;152968;2
20983;237268;2
20983;248797;1
20983;299827;1
20983;562676;2
20983;655448;2
20983;673389;2
20983;676028;2
25245;196753;2
35334;24561;1
35334;43973;1
35334;66296;1
35334;93827;1
35334;102543;1
35334;151238;1
35334;177819;1
35334;207112;1
35334;224438;1
35334;225574;1
35334;245839;1
35334;499691;1
35334;532100;1
35334;552466;1
35334;571284;1
35334;576411;1
37263;69766;1
37263;141057;1
37445;37445;1
37445;163852;1
37620;159143;1
39503;130023;1
39503;500132;1
39617;499678;1
42911;7397;1
42911;175621;1
42911;206858;1
42911;638906;1
45576;14647;1
45576;37249;1
45576;98636;1
45576;150745;2
5381;5381;1
5381;221557;1
5381;518547;1
5464;606809;1
5464;670406;1
5464;678896;1
5979;150745;2
5979;500699;2
5979;671398;2
9074;128210;1
11448;519657;1
16458;87683;1
18764;29486;1
18764;34243;1
18764;44891;1
18764;51570;1
18764;94120;1
18764;144642;1
18764;167183;1
18764;174319;1
18764;176346;1
18764;191238;1
18764;194894;1
18764;204890;1
18764;207112;1
18764;209296;1
18764;276006;1
18764;499614;1
18764;500699;1
18764;505147;1
18764;525802;1
18764;536203;1
18764;541646;1
18764;543998;2
18764;551353;1
18764;557800;1
18764;569699;2
18764;572366;1
18764;637325;1
18764;686279;2
18764;687539;1
21004;21004;1
21004;87375;1
21004;131731;1
21004;188283;1
21004;300278;1
21004;634940;1
21006;554354;2
22208;22208;1
25786;20552;1
25786;31534;1
25786;32441;1
25786;115878;1
25786;186624;1
25786;233762;1
25786;519657;1
26520;105752;2
26520;570388;2
27456;144988;1
29262;2968;2
29262;4145;1
29262;4410;2
29262;5366;2
29262;13028;1
29262;17755;1
29262;18537;2
29262;19575;1
29262;23214;1
29262;25610;1
29262;26627;2
29262;30457;2
29262;30537;1
29262;32173;2
29262;32854;2
29262;37346;1
29262;37541;2
29262;39164;1
29262;39590;1
29262;41830;1
29262;49126;2
29262;49497;2
29262;50503;2
29262;51140;2
29262;51414;2
29262;52753;1
29262;64880;1
29262;72337;1
29262;73289;2
29262;76874;2
29262;88156;2
29262;102731;1
29262;106439;2
29262;114795;1
29262;118985;2
29262;121866;2
29262;122835;1
29262;129337;2
29262;134597;2
29262;140297;1
29262;144954;2
29262;150739;2
29262;151912;1
