:START_ID,:END_ID
u31373,u37249
u31373,u41961
u31373,u126369
u31373,u152499
u31373,u224497
u31373,u570693
u2177,u2177
u2177,u502721
u2177,u519657
u10051,u10051
u10051,u59413
u10051,u132752
u11320,u37249
u11320,u91850
u11320,u196753
u11320,u224754
u11320,u667617
u13359,u13359
u13477,u37249
u13477,u204782
u13477,u208655
u14996,u170689
u14996,u539522
u16435,u16435
u16500,u16500
u20647,u80248
u20647,u196753
u21179,u1354
u21179,u1782
u21179,u4066
u21179,u6128
u21179,u47944
u21179,u50812
u21179,u51137
u21179,u53869
u21179,u59327
u21179,u64217
u21179,u72741
u21179,u74674
u21179,u84963
u21179,u89306
u21179,u94367
u21179,u106184
u21179,u111628
u21179,u130290
u21179,u137790
u21179,u139002
u21179,u144948
u21179,u156643
u21179,u170364
u21179,u176252
u21179,u181539
u21179,u183395
u21179,u185230
u21179,u193947
u21179,u206082
u21179,u207324
u21179,u217277
u21179,u249578
u21179,u499216
u21179,u499307
u21179,u499569
u21179,u501035
u21179,u502038
u21179,u509279
u21179,u509968
u21179,u514662
u21179,u525936
u21179,u526088
u21179,u530221
u21179,u530512
u21179,u530624
u21179,u532144
u21179,u539631
u21179,u546956
u21179,u547777
u21179,u548592
u21179,u556854
u21179,u558329
u21179,u560866
u21179,u565645
u21179,u570130
u21179,u571532
u21179,u577096
u21179,u580244
u21179,u586365
u21179,u586763
u21179,u603668
u21179,u604940
u21179,u607903
u21179,u629233
u21179,u635123
u21179,u637349
u21179,u637667
u21179,u638805
u21179,u652108
u21179,u654549
u21179,u655727
u21179,u665911
u21179,u669623
u21179,u676476
u21179,u677865
u21179,u677906
u21179,u678509
u21179,u681721
u21179,u686755
u21179,u687151
u21180,u65347
u22552,u22552
u22552,u220348
u27632,u10741
u27632,u59327
u27632,u105919
u27632,u150745
u27632,u195763
u27632,u230094
u27632,u248515
u27632,u579586
u27632,u632699
u27967,u45964
u27967,u54298
u27967,u60362
u27967,u162078
u27967,u196753
u27967,u225324
u27967,u580733
u29486,u137950
u29486,u686050
u254,u254
u254,u116452
u254,u137950
u254,u530137
u254,u579004
u4255,u505942
u6095,u90208
u8624,u8624
u12636,u30325
u12636,u74239
u12636,u115878
u12636,u117656
u12636,u240312
