:START_ID,:END_ID
u20257,u579736
u20257,u579846
u20257,u580659
u20257,u580731
u20257,u580812
u20257,u581271
u20257,u582098
u20257,u584787
u20257,u587235
u20257,u587439
u20257,u588511
u20257,u589970
u20257,u590087
u20257,u601488
u20257,u603760
u20257,u605602
u20257,u605953
u20257,u607160
u20257,u608925
u20257,u630308
u20257,u631153
u20257,u631414
u20257,u631813
u20257,u632610
u20257,u633215
u20257,u633941
u20257,u634012
u20257,u634488
u20257,u634584
u20257,u634668
u20257,u635288
u20257,u636201
u20257,u636462
u20257,u637560
u20257,u638264
u20257,u639002
u20257,u639644
u20257,u640123
u20257,u651082
u20257,u651572
u20257,u651722
u20257,u666064
u20257,u666154
u20257,u668509
u20257,u669644
u20257,u669955
u20257,u671203
u20257,u671401
u20257,u680320
u20257,u684426
u20257,u686372
u6101,u226002
u9309,u37147
u9309,u40139
u9309,u44420
u9309,u51625
u9309,u57085
u9309,u58849
u9309,u73860
u9309,u94507
u9309,u132438
u9309,u183504
u9309,u185403
u9309,u193754
u9309,u214377
u9309,u233529
u9309,u499613
u9309,u499700
u9309,u501871
u9309,u502216
u9309,u503395
u9309,u505950
u9309,u513678
u9309,u516802
u9309,u521362
u9309,u553379
u9309,u554350
u9309,u574978
u9309,u575787
u9309,u576049
u9309,u579244
u9309,u586297
u9309,u586365
u9309,u589056
u9309,u600389
u9309,u601254
u9309,u602824
u9309,u605993
u9309,u608041
u9309,u608649
u9309,u630089
u9309,u634668
u9309,u634887
u9309,u639644
u9309,u670102
u9309,u672544
u9309,u677156
u9309,u678310
u9309,u680447
u13498,u578728
u13498,u602824
u13498,u670102
u13689,u20373
u13689,u48469
u13689,u499367
u13689,u503020
u13689,u508710
u13689,u553371
u13689,u554287
u22081,u1238
u22081,u8036
u22081,u16074
u22081,u28392
u22081,u35391
u22081,u40145
u22081,u44420
u22081,u49251
u22081,u49787
u22081,u50299
u22081,u52261
u22081,u53014
u22081,u55023
u22081,u56368
u22081,u63283
u22081,u63477
u22081,u72114
u22081,u80248
u22081,u99915
u22081,u102090
u22081,u111373
u22081,u115317
u22081,u117560
u22081,u117768
u22081,u118117
u22081,u123988
u22081,u126395
u22081,u133950
u22081,u144333
u22081,u151141
u22081,u151943
u22081,u156313
u22081,u164914
u22081,u167088
u22081,u172357
u22081,u184040
u22081,u189025
u22081,u191311
u22081,u193074
u22081,u201096
u22081,u206858
u22081,u210946
u22081,u211794
u22081,u211843
u22081,u219180
u22081,u225037
u22081,u235762
u22081,u238047
u22081,u238074
u22081,u243450
u22081,u328281
u22081,u499367
u22081,u500195
u22081,u500469
u22081,u500623
u22081,u501330
u22081,u503020
u22081,u504377
u22081,u504846
u22081,u505384
u22081,u507006
u22081,u507447
u22081,u514403
u22081,u516017
u22081,u517687
u22081,u521235
u22081,u521484
u22081,u523077
u22081,u525481
u22081,u528013
u22081,u535279
u22081,u535749
u22081,u541665
u22081,u541767
u22081,u547680
u22081,u548147
u22081,u548641
u22081,u554327
u22081,u562604
u22081,u563863
u22081,u564156
u22081,u564450
u22081,u565297
u22081,u566404
u22081,u566606
u22081,u570388
u22081,u579842
u22081,u582175
u22081,u584008
u22081,u585227
u22081,u600252
u22081,u601376
u22081,u601885
u22081,u602260
u22081,u605953
u22081,u632660
u22081,u633260
u22081,u634656
u22081,u638656
u22081,u639830
u22081,u652928
u22081,u692098
u28804,u632755
u31373,u72867
u21180,u20007
u21180,u511038
u21180,u534105
u21180,u554287
u21180,u681582
u27632,u81444
u27632,u101436
u27632,u185403
u27632,u545405
u27632,u545586
u27632,u573201
u27632,u581206
u27632,u589369
u27632,u605953
u27632,u636447
u27632,u670102
u27632,u672715
u27632,u673389
u27632,u676028
u27632,u683589
u27632,u684611
u27632,u686971
u27632,u689223
u27632,u690671
u27632,u693995
u29486,u63493
u29486,u162967
u29486,u171511
u29486,u174519
u29486,u205953
u29486,u245901
u29486,u535169
u29486,u536867
u29486,u606617
u30507,u472
u30507,u6835
u30507,u11127
u30507,u20373
u30507,u21645
u30507,u30457
u30507,u44420
u30507,u48799
u30507,u51140
u30507,u51425
u30507,u55016
u30507,u61341
u30507,u76577
u30507,u94156
u30507,u103070
u30507,u120014
u30507,u135214
u30507,u172357
u30507,u173814
u30507,u182676
u30507,u184071
u30507,u190497
u30507,u193428
u30507,u201096
u30507,u213679
u30507,u228279
u30507,u317761
u30507,u499700
u30507,u500195
u30507,u501871
u30507,u502943
u30507,u505145
u30507,u511146
u30507,u514403
u30507,u514480
u30507,u524528
u30507,u525222
u30507,u533580
u30507,u534105
u30507,u536890
u30507,u538958
u30507,u539179
u30507,u539866
u30507,u545638
u30507,u548164
u30507,u554287
u30507,u554350
u30507,u566570
u10339,u22680
u10339,u30457
u10339,u44420
u10339,u55016
u10339,u180963
u10339,u190254
u10339,u204471
u10339,u501871
u10339,u513688
u10339,u566570
u10339,u589056
u10339,u602199
u12636,u535749
u12636,u690019
u23214,u35975
u23214,u74670
u23214,u169493
u23214,u176518
u23214,u179933
u23214,u501782
u23214,u511038
u23214,u515725
u23214,u525671
u23214,u541888
u23214,u556508
u23214,u565241
u23214,u581219
u23214,u584349
u23214,u600270
u23214,u604589
u23214,u608312
u23214,u640781
u23214,u665912
u23214,u672117
u23214,u689145
u37147,u573237
u38190,u18444
u41584,u118117
u10705,u7350
u10705,u10978
u10705,u21189
u10705,u26534
u10705,u31324
u10705,u49126
u10705,u51144
u10705,u71741
u10705,u72656
u10705,u78917
u10705,u85368
u10705,u85518
u10705,u103217
u10705,u118499
u10705,u128196
u10705,u130254
u10705,u130437
u10705,u131488
u10705,u167449
u10705,u169493
u10705,u172385
u10705,u190254
u10705,u192259
u10705,u212394
u10705,u218450
u10705,u223076
u10705,u224713
u10705,u239194
u10705,u240572
u10705,u245317
u10705,u499562
u10705,u499840
u10705,u502218
u10705,u507447
u10705,u514849
u10705,u515748
u10705,u516173
u10705,u517532
u10705,u520416
u10705,u522241
u10705,u522710
u10705,u524311
u10705,u534185
u10705,u540897
u10705,u540945
u10705,u545327
u10705,u550660
u10705,u551427
u10705,u556017
u10705,u559143
u10705,u561652
u10705,u564003
u10705,u565241
u10705,u566570
u10705,u568415
u10705,u572502
u10705,u572922
u10705,u573861
u10705,u583231
u10705,u586078
u10705,u589029
u10705,u605061
u10705,u606175
u10705,u607903
u10705,u630187
u10705,u633296
u10705,u635302
u10705,u652108
u10705,u665847
u10705,u666563
u10705,u669955
u10705,u674106
u10705,u678231
u10705,u683661
u10705,u683731
u10705,u691070
u17575,u638533
u17575,u652259
u21601,u88156
u22698,u37708
u22698,u41383
u22698,u103423
u22698,u107020
u22698,u107517
u22698,u118117
u22698,u172325
u22698,u201096
u22698,u234718
u22698,u332203
u22698,u499367
u22698,u500722
u22698,u514403
u22698,u528013
u22698,u548147
u22698,u553375
u22698,u554287
u22698,u554327
u22698,u555871
u22698,u568263
u22698,u586058
u22698,u631891
u22698,u673496
u22698,u686279
u28621,u117568
u28707,u20447
u28707,u514403
u51778,u169493
u51778,u499873
u51778,u575173
u51778,u640547
u58194,u236205
u63535,u499641
u63535,u569699
u10741,u23771
u10741,u37541
u10741,u47029
u10741,u49497
u10741,u51918
u10741,u86091
u10741,u118117
u10741,u124021
u10741,u139071
u10741,u170067
u10741,u177591
u10741,u189476
u10741,u227468
u10741,u499212
u10741,u499613
u10741,u505942
u10741,u506339
u10741,u531954
u10741,u537267
u10741,u548147
u10741,u555604
u10741,u565241
u10741,u575690
u10741,u582098
u10741,u582140
u10741,u601443
u10741,u601786
u10741,u666563
u10741,u681020
u20983,u24561
u20983,u152968
u20983,u237268
u20983,u562676
u20983,u655448
u20983,u673389
u20983,u676028
u25245,u196753
u45576,u150745
u5979,u150745
u5979,u500699
u5979,u671398
u18764,u543998
u18764,u569699
u18764,u686279
u21006,u554354
u26520,u105752
u26520,u570388
u29262,u2968
u29262,u4410
u29262,u5366
u29262,u18537
u29262,u26627
u29262,u30457
u29262,u32173
u29262,u32854
u29262,u37541
u29262,u49126
u29262,u49497
u29262,u50503
u29262,u51140
u29262,u51414
u29262,u73289
u29262,u76874
u29262,u88156
u29262,u106439
u29262,u118985
u29262,u121866
u29262,u129337
u29262,u134597
u29262,u144954
u29262,u150739
u29262,u152470
u29262,u163008
u29262,u165709
u29262,u166127
u29262,u169213
u29262,u170366
u29262,u176874
u29262,u177299
u29262,u181296
u29262,u182564
u29262,u185403
u29262,u189074
u29262,u195974
u29262,u203275
u29262,u204294
u29262,u207980
u29262,u223076
u29262,u224383
u29262,u236360
u29262,u245660
u29262,u317761
u29262,u499283
u29262,u499768
u29262,u502216
u29262,u503323
u29262,u503423
u29262,u505351
u29262,u509546
u29262,u512318
u29262,u512341
u29262,u514962
u29262,u516802
u29262,u520442
u29262,u525685
u29262,u530469
u29262,u533796
u29262,u534098
u29262,u535893
u29262,u536826
u29262,u537553
u29262,u539866
u29262,u540551
u29262,u541468
u29262,u543555
u29262,u544877
u29262,u547356
u29262,u549151
u29262,u549844
u29262,u549961
u29262,u550624
u29262,u553878
u29262,u553917
u29262,u555331
u29262,u557390
u29262,u561238
u29262,u562534
u29262,u565241
u29262,u570329
u29262,u570618
u29262,u570756
u29262,u571425
u29262,u575173
u29262,u575663
u29262,u577929
u29262,u578480
u29262,u580173
u29262,u580182
u29262,u581271
u29262,u582098
u4162,u44420
u4162,u213679
u4162,u504846
u4162,u525481
u4162,u528013
u11750,u302559
u13390,u270340
u13390,u501015
u18563,u22680
u18563,u24203
u18563,u30457
u18563,u118117
u18563,u534105
u18563,u554287
u18563,u554327
u18563,u569699
u18563,u584349
u18563,u602824
u18563,u670102
u21760,u24595
u29316,u72867
u29316,u124669
u29316,u174048
u29316,u185403
u29316,u189032
u29316,u577332
u30195,u19603
u30195,u556432
u51058,u670102
u246,u556432
u6119,u566570
u7957,u530835
u20727,u2711
u20727,u2968
u20727,u6602
u20727,u7346
u20727,u17469
u20727,u18563
u20727,u25011
u20727,u31605
u20727,u35172
u20727,u36131
u20727,u37783
u20727,u44779
u20727,u45964
u20727,u46085
u20727,u50503
u20727,u53014
u20727,u63283
u20727,u78399
u20727,u98495
u20727,u114929
u20727,u115224
u20727,u118117
u20727,u133950
u20727,u137129
u20727,u137790
u20727,u146923
u20727,u156313
u20727,u160001
u20727,u167646
u20727,u174067
u20727,u182676
u20727,u189032
u20727,u190213
u20727,u197186
u20727,u203275
u20727,u203366
u20727,u217212
u20727,u223638
u20727,u224813
u20727,u233529
u20727,u233996
u20727,u248304
u20727,u303148
u20727,u499729
u20727,u499873
u20727,u500530
u20727,u500792
u20727,u501092
u20727,u501118
u20727,u501644
u20727,u501983
u20727,u507006
u20727,u508172
u20727,u509832
u20727,u516259
u20727,u517687
u20727,u524430
u20727,u528013
u20727,u528747
u20727,u532982
u20727,u532989
u20727,u535749
u20727,u545580
u20727,u548513
u20727,u548606
u20727,u548622
u20727,u548759
u20727,u549961
u20727,u553552
u20727,u554287
u20727,u557434
u20727,u557506
u20727,u561652
u20727,u564854
u20727,u565241
u20727,u565355
u20727,u566287
u20727,u566359
u20727,u567820
u20727,u568263
u20727,u569277
u20727,u570329
u20727,u570388
u20727,u571120
u20727,u575739
u20727,u576953
u20727,u577078
u20727,u579866
u20727,u580553
u20727,u580625
u20727,u581219
u20727,u582338
u20727,u583394
u20727,u586519
u20727,u587830
u20727,u589686
u20727,u589970
u20727,u602349
u20727,u602824
u20727,u603039
u20727,u603868
u20727,u603984
u20727,u605165
u20727,u605791
u20727,u605953
u20727,u606267
u20727,u606535
u20727,u608411
u20727,u630692
u20727,u631414
u20727,u632399
u20727,u633930
u20727,u634040
u20727,u634240
u20727,u634554
u20727,u634887
u20727,u635325
u20727,u635804
u20727,u635836
u20727,u637724
u20727,u638264
u20727,u638713
u20727,u639291
u20727,u640488
u20727,u652653
u20727,u654385
u20727,u654641
u20727,u666154
u20727,u666502
u20727,u667492
u20727,u669276
u20727,u669955
u20727,u670102
u20727,u671101
u20727,u686674
u23667,u44420
u23667,u557259
u28077,u670102
u51302,u221305
u52261,u566938
u56273,u38394
u56273,u243821
u56273,u554592
u56273,u573870
u58113,u520216
u64436,u549757
u76429,u74288
u76429,u524021
u76429,u585445
u76429,u678879
u30177,u526003
u30177,u583505
u30663,u179907
u30663,u528013
u30663,u568263
u30663,u579842
u38033,u120885
u42177,u44420
u42177,u81464
u42177,u116864
u42177,u317761
u42177,u527867
u42177,u573244
